Word,Frequency
remaining,16
kesko,23
acquires,4
capital,111
kaukotelko,5
wholly,4
owned,19
sponda,16
syndicated,7
oneyear,2
announcement,19
july,32
subscription,33
warrant,4
subscribed,19
program,42
cover,45
hdo,1
platform,23
ac,13
cxe,3
optical,2
fttb,1
node,1
designed,14
forward,16
return,18
path,1
transmission,4
planned,20
electricity,16
generation,13
megawatt,2
mw,12
heat,9
omx,91
cap,13
car,15
considerably,9
influence,1
tire,10
maximum,23
exercising,4
b,18
issue,42
real,34
estate,33
investor,43
wednesday,26
march,53
danske,11
branch,12
ilmarinen,2
mutual,3
pension,17
estonia,28
fell,55
measure,33
included,21
increasing,10
synergy,7
scale,6
grimaldi,9
personnel,38
adjustment,9
divestments,1
redelivery,1
excess,7
tonnage,1
rinkuskiai,2
kauno,2
alus,4
grew,34
telecomworldwire,2
april,44
tj,4
sell,47
morning,7
digital,23
design,65
selling,15
edita,2
series,10
become,21
subject,9
trading,19
list,11
together,13
old,9
fuel,16
november,38
tiimari,14
operates,23
six,24
generated,22
turnover,38
becomes,3
focus,33
supplier,44
pipettors,3
disposable,3
pipettor,1
tip,5
vwr,3
throughout,7
europe,43
combination,5
enabling,9
complex,11
strengthened,5
not,99
limited,9
port,18
connection,12
getting,4
access,19
wide,10
mediterranean,2
africa,12
north,34
america,33
say,52
uwe,1
bakosch,1
blindspots,1
coming,8
vantage,1
point,28
allows,10
investigator,2
see,21
whole,28
story,3
high,36
resolution,3
unbroken,1
video,23
still,13
expects,49
slightly,18
level,41
adding,3
predictability,1
poor,4
trustworthy,1
forecast,22
current,32
kemira,30
position,43
metal,33
coating,14
finnlines,11
adjusted,3
change,37
structure,40
optimize,1
operational,18
efficiency,18
julia,1
prohaska,1
marketing,29
communication,56
invest,22
physical,3
infrastructure,27
provide,36
knowhow,7
science,13
sunrise,2
valley,3
andrius,1
bagdonas,1
broadband,20
data,67
tltv,6
saw,8
jump,1
aktia,11
land,19
vaahto,19
accounting,11
food,46
lnnen,10
tehtaat,10
continuing,15
individual,7
promotion,2
higherthanexpected,1
many,14
genesis,2
respectively,24
circulation,3
grow,10
annually,8
swedish,45
experiencing,1
estimated,52
annual,69
however,58
continue,37
favourable,6
trend,11
cash,47
flow,27
activity,36
lithuania,14
fourth,31
kalmar,8
espana,1
xac,20
charger,13
delivered,31
piece,3
noted,7
declined,16
though,2
mobile,134
yearago,4
ramirent,19
quarterended,1
thesecond,1
ruukki,42
aker,8
norway,17
suction,1
anchor,1
kalajoki,1
showed,6
comparable,13
ceo,78
sakari,1
tamminen,1
magazine,24
gdp,1
overall,13
weekly,3
basis,13
cent,38
end,76
ago,23
best,17
major,34
brewery,9
domestic,16
litre,8
transaction,60
tecnomens,1
workforse,1
add,10
rental,29
latvian,5
priority,2
balance,10
sheet,11
hannu,7
krook,1
yit,37
building,96
geographically,1
october,58
fishing,12
tackle,5
rapala,25
vmc,10
rapv,2
nine,44
bim,4
information,59
modeling,4
software,75
tekla,20
modelbased,1
adopted,1
management,88
project,122
abu,1
dhabi,1
metso,31
mineral,8
gone,3
aldata,23
gold,6
french,4
forest,32
machinery,46
ponsse,11
kci,5
konecranes,22
okmetic,24
silicon,12
wafer,12
semiconductor,2
sensor,3
norwegian,14
solar,6
norsun,2
mono,1
crystal,2
pharmaceutical,37
orion,11
babcock,1
distribution,41
harvester,4
head,28
south,18
african,2
sappi,6
foreign,9
graphic,4
deputy,6
md,3
pekka,4
silvennoinen,1
aim,43
next,35
hkscan,12
jrvisuomen,3
portti,3
advertising,6
takeover,9
significant,39
previously,35
lemminkinen,6
time,57
h,5
l,9
aviation,5
maintenance,33
based,61
kansa,3
besides,5
meat,21
various,16
sausage,1
taste,1
grill,1
shish,1
kebab,1
segment,30
paavel,1
sixmonth,8
approximately,69
digia,18
januaryjune,13
diluted,14
versus,21
ebit,12
editor,2
note,12
ansa,2
may,61
equity,18
ratio,10
frozen,5
q,25
textile,11
marimekko,22
mmov,4
finlandbased,16
se,8
privately,2
held,26
electronics,50
deal,80
equipment,83
andrew,1
cutlery,3
hand,11
tool,24
abp,10
fisa,3
stockmann,28
lifting,7
half,57
messaging,7
developer,34
tecnomen,11
temv,1
received,27
expansion,19
convergent,5
charging,15
latin,9
outotec,24
accessory,10
belttongroup,1
privacy,4
stonesoft,10
preliminary,11
stonegate,5
okmv,4
august,42
done,6
underlying,5
following,36
relacom,1
presence,14
serving,7
operator,48
fixed,22
installation,19
wholesale,8
seen,13
grown,4
returned,5
apriljune,10
eloholma,1
ragutis,7
controlled,11
svyturysutenos,2
beverage,6
bbh,2
posted,28
januarymay,1
contempus,1
nok,11
approx,3
addition,40
kone,21
twoyear,2
escalator,7
alone,4
interest,25
review,9
currency,11
generate,4
indian,15
widened,5
come,22
zloty,1
agro,2
retailer,16
wholesaler,3
grain,5
agricultural,5
warehousing,2
onetenth,1
preceding,1
import,9
retailing,1
vvauto,1
adp,28
feb,15
ixonos,12
xnsv,1
affecto,13
afev,3
nov,10
measurement,12
vaisala,18
vaias,3
oct,15
kcrv,4
procurement,9
honkajoki,1
findest,1
protein,3
animal,5
fat,6
biodiesel,6
bcd,1
porvoo,1
refinery,8
vegetable,5
multimedia,3
kauppalehti,3
marketplace,5
intake,3
respective,4
julyseptember,6
pharma,1
passengerrelated,1
press,32
deliver,28
install,6
bridge,21
kyronsalmi,2
strait,3
savonlinna,2
guided,1
device,56
satama,10
section,11
regional,7
finnair,30
asian,11
kilometer,2
compare,2
expands,7
scope,7
least,11
one,93
fifth,4
full,23
placed,6
pmax,1
tanker,3
dwt,3
outlook,19
government,23
chemical,23
fertilizer,3
sending,3
firm,34
german,9
code,6
another,20
oneworld,2
american,12
airline,16
inc,40
usbased,3
amr,2
nyse,16
helsinkibased,4
owns,17
salomon,6
atomic,2
suunto,1
brand,50
registered,11
trade,36
register,17
bringing,6
twoday,4
gbx,2
tuesday,22
threeday,1
region,38
eastern,16
recovery,6
china,51
representation,1
extends,4
comptel,17
worldwide,16
tietoenator,11
us,8
intellisync,2
suite,5
wireless,17
email,18
calendar,5
capability,11
extend,3
vacon,13
drive,17
ruselprom,1
power,44
kw,2
existing,24
cybercom,5
cto,1
esko,1
myllyla,1
via,31
satlan,1
partner,41
cable,8
broadcaster,1
iptv,1
central,29
extension,8
engine,11
produce,16
european,28
strongly,2
firstquarter,3
since,38
magnus,1
rosen,3
branded,4
good,40
president,45
heikki,5
allonen,1
pointing,1
relatively,5
overlapping,1
larox,3
filter,8
nickel,10
mine,8
sotkamo,2
objective,6
elisa,24
mainly,18
adopting,2
socalled,4
ahead,4
panostaja,18
fiscal,19
ended,9
geosentric,8
geosolutions,3
gypsii,10
lifestyle,1
geomobility,1
social,15
networking,8
nanjing,1
mynet,1
make,57
outokumpu,22
mongolia,1
erdenet,2
mining,12
engineering,55
hydrocopper,1
built,29
site,34
proportion,5
standing,1
lining,3
stone,7
realized,5
effect,21
litas,5
vacv,1
set,34
representative,10
romania,6
serve,14
southeastern,3
fullyear,10
affected,6
nevertheless,4
postel,1
distributor,9
longstanding,4
continues,10
stronger,6
octoberdecember,1
olvi,17
control,30
coq,6
soft,5
drink,10
water,27
cider,4
long,24
energy,51
markedly,1
recycled,6
employed,4
percentage,5
quarteronquarter,2
veidekke,2
entreprenor,1
packaging,27
strongest,2
czech,15
republic,13
slovakia,4
ordered,12
airbus,4
aircraft,5
latest,18
variant,2
rollsroyce,1
trent,1
called,6
intensifying,1
smelter,3
copper,4
continued,21
scheduled,24
nearly,10
flight,13
resulted,4
poland,22
disposal,4
autotank,2
commented,2
gustav,1
nyberg,4
economic,15
occupancy,1
bssoss,2
va,21
telecom,33
tecnotree,8
worth,29
without,15
specifying,1
activeness,1
started,31
stated,6
telemig,3
celular,2
beginning,19
prepaid,7
xerox,1
teamed,1
tailor,1
igen,1
shortrun,1
ondemand,1
town,7
riihimki,1
lease,10
occupy,1
travel,11
upgrade,11
intended,4
raise,11
mhz,7
several,30
city,39
bidirectional,1
television,2
notice,8
skandinaviska,1
enskilda,1
banken,1
ab,29
publ,2
divested,8
ilkkayhtyma,4
kaleva,2
kustannus,2
condition,15
fulfilled,1
entered,13
receive,11
aggregate,3
amount,42
automated,2
larger,6
pipette,4
efore,14
reijo,2
maihaniemi,1
chinese,9
sector,59
zte,1
co,17
tlvv,1
picked,4
bofa,2
merrill,2
lynch,2
jpmorgan,2
jpm,3
joint,28
bookrunners,1
convertible,6
usdm,4
turn,7
twofold,1
zahariev,1
sto,12
nda,5
pohjola,22
pohs,4
sampo,29
samas,3
svenska,3
handelsbanken,4
shb,5
could,10
scandic,2
feed,8
diversify,2
tosno,1
separately,2
austrian,4
e,27
ag,11
week,31
germany,24
austria,8
hungary,6
jm,1
recent,11
residential,11
intends,7
headquartered,32
meteorology,2
environmental,13
mall,7
pearl,7
cjsc,3
shanghai,7
home,25
people,67
known,12
pulkovo,3
introduce,6
entirely,2
concept,8
creating,7
commerciallyfunded,1
knowledgeintensive,1
thereby,2
mostly,4
apparent,1
observes,1
perttu,1
puro,1
tradeka,1
fund,45
wartsila,11
added,35
decided,27
cathode,1
complete,18
name,21
shareholder,55
otto,2
henrik,3
bernhard,2
transferred,11
corresponds,3
processing,30
collect,3
calculates,2
rvr,1
provides,32
interface,7
tinyurl,1
link,9
take,34
scamming,1
promising,5
earn,1
thousand,7
becoming,6
google,7
nasdaq,20
goog,1
advertiser,2
alexandria,18
pertti,2
salmi,1
hanna,1
vuolteenaho,1
oulu,13
sami,8
viitasaari,1
ii,6
ornamental,4
patent,19
trademark,9
markka,1
oksanen,1
harald,1
kaaja,1
juha,8
salokannel,1
kangasala,1
arto,2
palin,1
viiala,1
providing,21
vsevolozhsk,2
leningrad,2
expanded,8
mline,1
family,9
ml,7
capman,38
alternative,5
asset,32
helsinkifocused,1
vehicle,13
bought,20
sevenstory,1
underwent,1
refurbishment,2
relative,5
start,51
later,15
kazakhstan,9
ordabasy,2
build,25
astana,2
chairman,31
dinmukhamet,1
idrisov,1
conference,14
affectogenimap,3
intellibis,3
debtfree,1
heatretaining,2
fireplace,8
tulikivi,10
local,41
tiled,1
stove,1
utility,8
ceramic,5
kermansavi,2
merge,4
mean,11
absorption,1
streamline,5
corporate,27
refinance,3
furthermore,7
bunge,4
sign,5
licensing,8
sunnuntai,1
carlshamn,1
mejeri,1
commerzbank,1
hamburg,1
jp,2
morgan,4
participated,6
arranger,1
dutch,8
ing,2
am,1
inga,1
coarranger,1
separated,3
parent,7
fortum,22
became,7
listed,19
raisio,19
stretch,1
way,21
vladivostok,1
buy,32
danish,10
poultry,5
right,68
granted,7
planning,22
harbor,2
chief,25
executive,28
lundmark,2
told,17
deutschland,1
outside,16
telko,4
expanding,7
strategic,25
bp,4
industrial,47
lubricant,1
il,1
acquiring,12
moluballoy,1
milan,1
italian,6
agency,4
enables,20
account,16
supporting,6
pop,1
imap,1
gradually,5
jydsk,1
materiel,1
udlejning,1
located,21
west,6
jutland,1
repurchase,5
behalf,3
solidium,7
tikkurila,24
takoma,1
carry,8
moventas,1
parkano,2
run,9
factory,21
southern,13
switch,3
converter,3
whilst,2
opening,8
location,25
owner,26
sun,2
hung,1
kai,6
hong,9
kong,7
type,16
premium,5
finalize,1
negotiation,48
letter,9
intent,7
seal,4
actual,13
ky,2
window,10
fenestra,1
forssa,4
committed,5
apollo,2
five,18
includes,56
training,10
startup,7
uranium,4
produced,14
nickelzinc,1
benefon,14
navigation,11
locator,1
omxn,3
comprising,8
traded,8
rd,12
turnkey,4
fortuna,1
stakeholder,3
everything,1
term,40
offtake,2
cameco,3
upfront,2
cost,66
extraction,4
oxygen,2
sick,1
maihak,1
gmbh,8
beijing,4
xfnasia,1
konglisted,2
making,18
small,20
enterprise,16
lr,1
summary,5
medical,10
pipeline,4
talk,13
involve,3
asked,4
whether,4
talking,2
reliance,1
supplying,4
upcoming,1
jamnagar,1
lidskoe,2
pivo,2
foresees,2
integrated,10
modernization,2
updating,1
logistics,26
instrument,7
mikshis,1
residentialconstruction,1
particular,8
djsi,4
running,6
stoxx,2
goal,12
chosen,9
ahlstrom,26
latvijas,3
finieris,3
green,7
veneer,9
mill,46
ukmerge,2
house,26
targeting,5
onefamily,2
voting,31
aspect,1
defined,3
microsoft,10
detail,27
initiative,8
resulting,3
date,19
kahonen,1
juuka,1
handle,5
fire,2
pit,1
door,4
kenneth,1
bower,1
vista,1
calif,2
elevator,14
output,10
yronyr,1
r,8
crore,3
space,19
hospital,2
nursery,1
laboratory,10
call,22
switchboard,1
directory,1
significantly,11
uptodate,2
contact,9
colleague,2
directly,4
cargotec,28
turkish,4
doktas,3
dokumculuk,2
ticaret,1
sanayi,1
raivv,3
wrapped,1
divestment,9
margarine,4
player,21
bg,4
manipulator,1
knight,1
monday,19
wrapping,1
walki,1
wisa,1
companyeur,1
tm,9
romanian,1
lei,1
mmh,1
morris,1
delivers,3
different,24
experience,27
widen,1
address,8
jacob,1
storengy,2
storage,6
engineer,5
adpnews,12
jun,4
outv,1
threeyear,4
revolving,4
silva,3
garden,8
boat,8
mr,33
ashley,2
sport,34
direct,9
pc,8
pound,5
float,2
challenge,8
formation,3
plug,1
halt,1
accounted,11
krakeroy,1
bascule,1
pile,1
foundation,6
investing,3
strengthening,8
established,23
enter,10
sysopen,10
sentera,5
vote,14
suomen,15
helasto,3
lukkoexpert,1
kimmo,1
uusimaki,1
broadbased,1
wig,2
session,2
pt,2
bluechip,2
generates,4
currently,36
employ,28
onwards,2
spend,2
proceeds,3
surfacetreatment,1
decision,24
lenenergo,2
generating,3
grid,5
container,11
namibia,1
walvis,1
bay,2
coast,8
doubling,1
floor,9
commissioning,2
consists,11
functionality,8
targeted,6
repayment,3
debenture,2
bond,21
related,34
irrevocable,1
commitment,13
holder,6
subordinated,3
gorelovo,1
sq,23
invested,10
tielinja,1
powder,5
paint,12
district,11
judge,2
douglas,2
p,9
woodlock,1
extended,7
jan,14
temporary,20
restraining,1
uk,26
sarantel,3
outsource,2
london,20
bns,3
british,8
miniature,1
antenna,5
assembly,4
estonian,11
gogol,1
street,12
underground,8
tunnel,3
crossing,1
implementation,10
launch,27
winner,3
tgk,4
vnh,1
ford,1
struggling,2
face,5
slowing,1
truck,7
suv,2
surfeit,1
gottahave,1
rautakesko,1
impacting,1
starting,17
peer,1
peugeot,1
fall,15
hit,13
expenditure,6
slowed,2
crisis,3
significance,1
emphasised,1
large,26
size,14
rapid,5
tv,9
viewed,6
attractive,3
union,14
normal,3
spokesman,2
usko,1
maatta,1
motorcyclist,2
improving,2
safety,13
back,16
strong,29
kalnapiliotauro,2
grupe,2
kalnapilistauras,2
denmark,12
unibrew,2
seven,6
jumped,10
license,8
popular,8
pattern,4
hm,2
staff,32
recruited,2
japan,16
complement,4
close,24
capacitor,1
used,34
reliability,2
noon,1
adjust,3
arm,4
producer,20
contribution,4
stx,2
environmentally,4
friendly,3
cruise,5
ferry,14
manage,6
stockholm,15
withviking,1
clearly,7
positive,28
tower,7
chose,2
go,12
summer,20
broadsheet,1
tabloid,1
page,5
ability,3
side,13
uponor,16
record,17
invoice,20
automation,19
connectivity,8
kazgiprotsvetmet,1
cooperation,38
metallurgical,2
surrounding,2
lemcon,3
kaluga,2
administration,20
favourably,2
middle,7
east,12
africaand,1
asia,18
pacific,4
longestablished,1
involves,4
transfer,28
certain,7
documentation,4
function,14
etteplan,9
appointment,2
kaupthing,11
coordinate,2
cencorp,18
virkkala,1
enhance,5
productivity,4
huhtamaki,14
outstanding,8
supplied,3
papua,2
guinea,1
lihir,2
pfizer,1
funding,5
biotie,6
pde,1
phosphodiesterase,1
inhibitor,1
sole,6
authority,17
discovered,1
compound,1
mature,2
novator,5
shareholding,5
amer,14
exceed,1
onefifth,1
prove,1
rod,2
baber,1
english,4
climber,2
climbed,3
mount,2
everest,2
summit,3
successfully,4
campaign,6
trial,5
demonstration,5
lte,6
commercially,5
viable,2
reino,1
tammela,1
specialty,12
glassfiber,1
reinforcement,1
carolina,2
ssh,8
please,5
tomi,1
laamanen,1
tel,12
patrizia,1
eurbn,3
consensus,6
guineabased,1
asx,2
lgl,1
aimed,9
completed,40
extensive,6
bolster,1
kallioranta,1
cooperationand,1
tied,1
ourmachinery,1
theodosopoulos,1
tellabs,1
nortel,1
given,17
leading,37
status,7
verizon,3
along,6
highgrowth,1
succeeded,2
apartment,10
comment,15
kari,7
kauniskangas,2
able,17
quality,24
restaurant,4
christopher,1
wynne,1
papa,1
john,5
suominen,14
specialises,6
wet,5
wipe,8
nonwovens,10
flexible,12
brasil,2
trust,4
accelerated,1
otev,2
phosphate,2
concentrator,1
siilinjarvi,1
minera,1
priit,2
kasak,1
balti,1
metsamasina,1
rakverebased,1
wish,3
valmet,2
couple,5
create,11
participates,1
entity,5
presently,3
potential,14
getinge,1
recorded,12
robust,2
inclusion,2
lindex,5
truly,3
height,4
hope,7
freight,2
scandinavia,3
ephc,1
approved,13
quarterly,5
awarded,35
eone,1
rubbertyred,1
gantry,2
rtg,1
crane,19
saigon,1
newport,1
snp,1
vietnam,4
bilfinger,1
cheered,1
pushing,1
afternoon,5
pursues,1
healthy,3
focused,4
concentrating,4
consumercustomers,1
upgraded,8
hold,25
abn,3
amro,2
marketwatch,3
fiveyear,5
hutchison,1
essar,1
india,22
progress,2
qpr,9
saudi,3
arabia,3
relationship,5
ise,1
achieved,4
ft,6
copenhagen,4
premier,3
shopping,18
inaugurated,3
gained,2
peab,6
exclusive,4
establishes,4
kolkata,1
better,12
weighted,1
shipment,4
launched,14
regionally,2
unique,3
common,4
mastercard,2
card,11
payment,13
state,39
spread,3
variety,7
organization,20
selects,1
party,17
leader,16
transplace,1
bestinclass,2
pl,1
visibility,6
transportation,15
ontime,1
speed,6
eijkens,1
publisher,9
much,13
publish,11
colourful,1
individualising,1
feedback,2
rpm,1
userexperience,1
costefficiency,2
tulonen,3
cdp,2
institutional,5
original,5
testament,1
japanese,7
rich,3
heritage,1
leadership,3
smartphone,8
elektros,1
pavara,1
completes,2
consultancy,10
trainer,4
trhv,2
resolved,4
hybrid,5
bid,14
aaron,1
moss,1
hampshire,3
great,7
britain,3
repair,2
money,10
spent,2
competitiveness,7
sphere,1
sawmill,7
wood,18
improves,2
glass,25
consistency,3
throughput,2
reason,8
behind,3
include,50
rent,4
fullyleased,1
successful,6
vuokatti,1
especially,13
prototype,1
rampup,1
testing,6
aftersales,2
look,14
helping,4
digitalize,1
agj,1
western,7
collection,6
error,1
speeded,2
combining,5
single,7
reduced,9
deployment,7
narrowed,17
cthv,5
biobv,2
fiber,12
plastic,8
ameas,2
rtrks,7
proha,5
artv,1
reorganisation,8
decrease,11
contrast,2
raute,18
pcb,2
acgv,3
metsaliitto,7
narrow,4
mo,2
hardware,7
elektrobit,5
ebgv,2
eb,12
smaller,10
airvana,1
umts,2
station,18
femto,1
softwarebased,1
offtheshelf,1
accelerate,1
feature,5
reduce,12
seppnen,2
onethird,1
lower,39
frequency,6
ropax,2
vessel,20
present,20
job,30
reduction,28
structural,3
provision,2
downsizing,1
lure,4
ireland,5
closely,2
agent,3
consumption,13
greenhouse,1
gas,20
emission,9
slipped,10
largerthanexpected,2
tax,32
sdav,2
jul,2
worked,7
legal,2
rule,10
normative,1
document,7
specified,3
functioning,1
technological,4
augustoctober,1
bore,1
rettig,1
recently,19
saving,31
expense,10
rotterdam,1
netherlands,11
naming,1
francebased,1
technip,1
contractor,4
ecb,2
anticipated,5
benchmark,8
earliest,3
measuring,4
ending,6
apr,1
solteq,7
stqv,1
peri,1
salonen,2
show,10
pulp,30
inventory,4
declining,1
brought,5
kroon,10
anticipates,4
sehk,1
chl,1
carrier,17
thegps,1
promoting,2
olympic,1
game,11
thelatest,1
upm,19
improved,21
jussi,5
pesonen,2
whose,6
wilson,3
cut,33
glaston,24
reflects,3
internationally,4
explains,3
kyro,7
mika,5
seitovirta,1
westend,1
ict,5
extraordinary,4
meeting,36
tallink,6
carriage,2
tallinna,1
sadam,1
pnaas,1
pnabs,1
kospa,1
waste,12
dragged,2
rising,3
low,17
loan,24
finance,12
center,40
redevelopment,1
refinancing,1
maturing,3
debt,10
ore,13
streak,1
nonrecurring,28
item,33
geenrated,1
totalling,5
th,6
enable,22
additional,16
optimisation,1
hour,8
hightech,3
expertise,13
innovative,10
extremely,6
efficient,12
id,7
petri,1
ailus,1
born,2
isto,1
hantila,1
stationery,3
gift,4
tiiv,4
driven,3
remained,9
weak,7
cet,2
bavarian,1
dkk,1
lost,5
past,10
example,8
ebitda,10
negative,18
dropped,15
forced,4
axe,2
rapidly,4
challenging,3
impacted,2
paying,1
painful,1
provided,24
majority,11
moment,6
valio,1
worried,1
ban,2
quite,7
problem,6
ebitis,1
satisfied,3
geography,1
repeat,3
ebita,1
separating,3
faster,5
tapro,1
rentakran,1
brings,4
alreadyworking,1
territory,6
jarmo,7
laasanen,2
senior,13
patja,2
decade,3
fujitsu,4
competitive,12
latvia,13
history,7
velimatti,1
mattila,1
professional,7
approach,11
assessing,1
put,8
shape,4
natural,21
looking,8
leverage,3
northern,17
matti,9
rihko,4
win,7
oems,1
wimax,2
portion,6
winning,2
dispute,3
signing,6
bypass,1
kotka,1
arehu,1
jouko,2
lahtinen,2
stabilise,1
karppinen,4
nilserik,1
eklund,1
performance,33
action,11
annualised,1
permanent,7
around,39
effected,2
boosted,4
nevsky,4
gps,6
karputer,1
twig,4
satellite,1
voice,13
guidance,7
deep,2
domain,1
asm,1
outsourcing,3
proved,2
brisk,1
noncore,1
californiabased,1
fitness,4
spark,2
nevadabased,1
atec,1
baseball,1
softball,1
pitching,1
espoon,1
kaupunki,1
personal,12
care,6
poyry,28
advise,2
builder,3
cogeneration,1
secondbiggest,1
kaunas,2
supervise,1
construct,4
tapiola,2
exceeded,3
yard,7
customised,4
ship,17
brisker,1
remainder,5
rough,1
terrain,1
handler,2
rtch,1
mediation,3
provisioning,3
inkinen,1
leasing,3
highly,5
remain,24
recognize,4
gain,17
standardised,1
met,5
reception,4
among,14
itella,1
secondlargest,3
glisten,3
winwin,1
snack,2
justfood,1
bergvik,1
earns,1
appreciation,1
maintains,2
assumption,2
turning,2
thanksto,1
improvement,18
theutilization,1
substantiallyimproved,1
chrome,1
resource,25
turkey,8
steady,1
benefit,7
organic,4
possibly,2
supplemented,1
balanced,3
broad,5
achieve,7
rebuilds,1
impact,16
situation,33
normalises,1
follow,3
installed,9
delhi,3
metro,7
spokeswoman,4
thomson,12
chance,3
booking,2
want,14
mikko,4
tuomainen,1
incharge,1
